job_title,role,industry
 Quality Control Manager,Production/Manufacturing/Maintenance,"Architecture, Interior Design"
" Product Manager_iiot For a Product Based Company,pune",Programming & Design,"IT-Software, Software Services"
 Senior Software Engineer,Programming & Design,"IT-Software, Software Services"
 Senior Executive / Assistant Manager - Industrial Sales,Corporate Sales,"Industrial Products, Heavy Machinery"
 Sr. EXECUTIVE - HR,HR/ Recruitment / IR,"IT-Software, Software Services"
 Electronics Engineering- Assistant Professor,University Level,"Education, Teaching, Training"
 Engineer - Testing,Programming & Design,"IT-Software, Software Services"
 Manager - Talent Acquisition/ Recruitment/ Volume Hiring - Bpo/ites,HR/ Recruitment / IR,"IT-Software, Software Services"
 Salesforce Developer,Programming & Design,"IT-Software, Software Services"
 Associate,Finance/Audit,"Recruitment, Staffing"
 Urgent Position for the Non It Recruiter@noida Location,HR/ Recruitment / IR,"Recruitment, Staffing"
 NOC Engineers / TL / Asst MGR / MGR - IC ROLE - MNC BPO PUNE,Telecom,"BPO, Call Centre, ITeS"
" Mandarin Data Support ""U.S Based MNC"" ""offroll"" 35k To 40k pm- Manesar",,Medical Devices / Equipments
 City Manager with a Top Retail Brand- Mumbai,Channel Sales,"Retail, Wholesale"
 Excellent Opportunity For SFDC Developer@banglore Location,Programming & Design,"IT-Software, Software Services"
 Legal Manager,,"Real Estate, Property"
 Advisor - Sales - Retail Apparel Brand,Retail Sales,"Retail, Wholesale"
 Regional Product Manager - Wealth & HNI Segment - Life Insurance Comp.,Channel Sales,Insurance
 Senior Customer Care Executive (gurgaon/noida),Voice,"BPO, Call Centre, ITeS"
,,
 Transport Incharge,Administration/Facility Management,"Education, Teaching, Training"
 EDI Claims Tester,Programming & Design,"IT-Software, Software Services"
 HR Executive (male),HR/ Recruitment / IR,"Courier, Transportation, Freight , Warehousing"
 Walk In Interview For Staff Nurse - Max@home (delhi / NCR / Dehradun),Medical Professional,"Medical, Healthcare, Hospitals"
" Openings in Medical Coding For Microbiology, Ad Zoology& Plant Biology",Medical Professional,"Medical, Healthcare, Hospitals"
 Autosar Development Engineer,Programming & Design,"Automobile, Auto Anciliary, Auto Components"
" Deputy Manager - Plastic Tooling Engineer, Ranjangaon Pune",Production/Manufacturing/Maintenance,"Consumer Electronics, Appliances, Durables"
 Web Designer,Other,"Strategy, Management Consulting Firms"
 Head Cost Accountant,Senior Management,"Real Estate, Property"
 Manager - Legal,,"Strategy, Management Consulting Firms"
 Product Manager,Programming & Design,"IT-Software, Software Services"
 CCE - Web Selling Campaign,Voice,"IT-Software, Software Services"
 International Commercial Law- Professor,University Level,"Education, Teaching, Training"
 Graphic Designer,Creative,"IT-Software, Software Services"
Java Developer,Programming & Design,IT-Software / Software Services
 Business Development Executive,Retail Sales,"IT-Software, Software Services"
 Relationship Manager - Privy League,Retail Sales,"Banking, Financial Services, Broking"
 Hardware Networking Engineer,Admin/Maintenance/Security/Datawarehousing,"Recruitment, Staffing"
 Bio Medical Waste Chitta,Medical Professional,"Medical, Healthcare, Hospitals"
 Education Consultant,,"Education, Teaching, Training"
 Field Purchase Officer from Delhi NCR (manufacturing Industry),Purchase/Material Management,"Construction, Engineering, Cement, Metals"
 Sales Exe / Senior,Retail Sales,Other
 Manager - Business Development (Infrastructure),Retail Sales,"IT-Software, Software Services"
 Walk in Interview - Account Payable (On Contract Role),Other,"Courier, Transportation, Freight , Warehousing"
" Principal Engineer - C#, VB.NET",Programming & Design,"Recruitment, Staffing"
,,
 Visa Counsellor/ Visa Cosultant/overseas Education Counsellor,Teachers,Other
 Guest Delight Manager,Food & Beverage,"Travel , Hotels , Restaurants , Airlines , Railways"
 Lead Administrator Unix Infrastructure,Admin/Maintenance/Security/Datawarehousing,"IT-Software, Software Services"
 QA Automation,Programming & Design,"Automobile, Auto Anciliary, Auto Components"
 Test Automation,Programming & Design,"Recruitment, Staffing"
 German Language Teacher,Teachers,"Education, Teaching, Training"
 Opening For Azure Data Factory ETL & Azure Cloud_Pune,Programming & Design,"IT-Software, Software Services"
 Operations Executive( Working in Shifts ),Operations,"Education, Teaching, Training"
 Solutions Engineer,Programming & Design,"Banking, Financial Services, Broking"
 PHP Developer,Programming & Design,"IT-Software, Software Services"
 Medical Officer,Medical Professional,"Medical, Healthcare, Hospitals"
 Embedded Real Time Software Engineers (3),Programming & Design,"IT-Software, Software Services"
 Data Scientist,Medical Professional,"Recruitment, Staffing"
 Asp.net Developer ( Immediate Joiner ),Programming & Design,IT-Hardware & Networking
 Technical Sales and Marketing,Retail Sales,"Oil and Gas, Energy, Power, Infrastructure"
 Technical Writer,QA/Testing/Documentation,"IT-Software, Software Services"
 IT SOFTWARE QUALITY LEAD,Programming & Design,"Recruitment, Staffing"
 Senior Embedded Software Engineer,Programming & Design,"Industrial Products, Heavy Machinery"
 Guidewire Architect,Programming & Design,"IT-Software, Software Services"
 Profile : Quality Assurance Open Positions : 1 Job Description: We a,QA/Testing/Documentation,"IT-Software, Software Services"
 Manager :Search Engine Marketing,Marketing,"Advertising, PR, MR, Event Management"
 English Lecturer/trainer,University Level,"Education, Teaching, Training"
 Java/ J2EE Full stack developers,HR/ Recruitment / IR,"Recruitment, Staffing"
 Hiring HR Recruiter for Impact HR Service Solutions Pvt Ltd @ Khar.,HR/ Recruitment / IR,"Recruitment, Staffing"
 Web Developer,Programming & Design,"BPO, Call Centre, ITeS"
 Golden Chance For Fresher- On roll Job- Kotak Mahindra Bank- Delhi NCR,Retail Sales,"Banking, Financial Services, Broking"
 Project Manager - Analytics LSR PM Ops,Senior Management,"Pharma, Biotech, Clinical Research"
 Dot Net Developer,Programming & Design,"IT-Software, Software Services"
 SR. Process Sales Associate ( US SHIFT),Voice,"IT-Software, Software Services"
 Software Customer Support FAE,Programming & Design,"Strategy, Management Consulting Firms"
 Different Levels of Position in Java,Programming & Design,"IT-Software, Software Services"
 Hardware Engineer,Purchase/Material Management,"IT-Software, Software Services"
 Blockchain Developer,Programming & Design,"IT-Software, Software Services"
 Software Engineer - C developer,Programming & Design,"IT-Software, Software Services"
DC Warehouse Executive,Logistics,Courier / Transportation / Freight / Warehousing
 Oracle Apps DBA,Admin/Maintenance/Security/Datawarehousing,"IT-Software, Software Services"
 NRI Relationship Manager,Retail Sales,"Banking, Financial Services, Broking"
" Mega Hiring Starts in Top Bpo's for Voice Proces, Whatsapp us",Voice,"BPO, Call Centre, ITeS"
 WCS Developer,Programming & Design,"IT-Software, Software Services"
 Senior-Physical-Design-Engineer,Programming & Design,"Semiconductors, Electronics"
 Member Technical Staff: Circuit Design,Programming & Design,"IT-Software, Software Services"
 Domestic/international BPO Call Center Jobs In Mumbai,Other,"BPO, Call Centre, ITeS"
 Content Writer,Content Development,"Internet, Ecommerce"
 Vacancy For Inbound Tech Support Voice Process,Voice,"IT-Software, Software Services"
 Manager (Sales) For Appu Ghar Express,Retail Sales,"Recruitment, Staffing"
Global Experience Management Engineering: Content & Programs,Senior Management,IT-Software / Software Services
" Support Engineering Manager, DART",Senior Management,"IT-Software, Software Services"
 Assistant Manager Marketing,Marketing,"Real Estate, Property"
 Data Entry Operator (Vacancy -1),,"Travel , Hotels , Restaurants , Airlines , Railways"
 HCL Technologies Limited - Hiring Java Developer (bengaluru),Programming & Design,"IT-Software, Software Services"
 Operation Manager Skill Development,Senior Management,"Education, Teaching, Training"
" Job Opening for SAP DM (7+ yrs exp) @ Istarbs Client, Chennai",Programming & Design,"IT-Software, Software Services"
 Recruitment Manager - Expat/global Recruitment,HR/ Recruitment / IR,Publishing
 Senior Software Engineer,Programming & Design,"IT-Software, Software Services"
 Chartered Accountant 1-3 Year : Mumbai -goregoan East,,"IT-Software, Software Services"
 Software Sales/ RSM: 8-18 Yrs; Middle East +africa Market Exp is MUST,Retail Sales,"IT-Software, Software Services"
 Managed Content Services,R&D,"IT-Software, Software Services"
 PHP Developer,Programming & Design,"Recruitment, Staffing"
" Zonal Manager For a Leading Marketing Company, Hyderabad",Channel Sales,"IT-Software, Software Services"
Hiring Medical Coder – ED / E&M Specialty For Noida Location,"From Patient-to-Payment,â„  nThrive empowers health care for every one in every community.â„  We transform financial and operational performance to enable health care organizations to thrive. We integrate our knowledge and advisory services across the entire revenue cycle and we are accountable to our clients - not payor or provider owners - ensuring unbiased and focused health solutions that best meet their needs.",KPO / Research / Analytics
 Medical Representative(rohini),Marketing,"Medical, Healthcare, Hospitals"
 Customer Success Manager,Retail Sales,"Internet, Ecommerce"
 Teradata developer,Programming & Design,"IT-Software, Software Services"
 CHIEF MEDICAL OFFICER,Medical Professional,"Internet, Ecommerce"
 Opening For dot NET Developer,,"IT-Software, Software Services"
 Environmental Scientist,R&D,"IT-Software, Software Services"
 Analyst (Data Science),Programming & Design,"Recruitment, Staffing"
" Urgent openings for IPDRG&Denial coding ,ED ,Ambulance coding",Medical Professional,"Medical, Healthcare, Hospitals"
 Store Operator (real Estate),,"Real Estate, Property"
 Vacancy for Interior Designer,Interior Design,"Architecture, Interior Design"
 .Net Developer / Lead / PL / PM / Architect,Programming & Design,"IT-Software, Software Services"
 Devops Engineer,Programming & Design,"Courier, Transportation, Freight , Warehousing"
,,
 Sales Manager,Retail Sales,"Real Estate, Property"
 Commercial Manager,Purchase/Material Management,"Automobile, Auto Anciliary, Auto Components"
 Support Analyst - Technology Services,Programming & Design,"Education, Teaching, Training"
 Senior IT Asset Specialist,Other,"Retail, Wholesale"
 Sr. Research Associate ? Analytical R&D,R&D,"Pharma, Biotech, Clinical Research"
" Capgemini walk in for R2R Skill on 10th June, Monday@bmp",,Other
Inbound Customer Executive-delhi NCR,"Currently we are having an opportunity with one of the leading Bank , for the role into Inbound Customer Executive for Credit Cards. Location- Delhi NCR Experience- 2 to 5 Years Education- Any Graduate Salary: INR 2,25,000 - 5,00,000 PA. Industry: Banking / Financial Services / Broking Functional Area: Other Employment Type: Permanent Job, Full Time ",Banking / Financial Services / Broking
 Sales & Marketing Manager Diesel Engine For Pune,Retail Sales,"Recruitment, Staffing"
 Query Management Executive,HR/ Recruitment / IR,"Recruitment, Staffing"
 Manager Facility,Administration/Facility Management,"Industrial Products, Heavy Machinery"
 Operations Manager- Domestic Banking Collections,Operations,"BPO, Call Centre, ITeS"
 Executive Sales Consultant / Business Development Executive,Sales Support,"IT-Software, Software Services"
 Trainee- Pre- Sales,Retail Sales,"Real Estate, Property"
 Teacher- Chemistry,Teachers,"Education, Teaching, Training"
 Asp.Net Software Developer,Programming & Design,"IT-Software, Software Services"
 Qlikview Developer,Programming & Design,"IT-Software, Software Services"
 English content writer,Content Development,"Banking, Financial Services, Broking"
 Java and MF,Programming & Design,"IT-Software, Software Services"
" Ground Staff Interview For Delhi, Jaipur, Chandigarh & Dehradun",Airline,"Travel , Hotels , Restaurants , Airlines , Railways"
 Steward,Food & Beverage,"Travel , Hotels , Restaurants , Airlines , Railways"
,,
 National Sales Manager - Consumer Durables,Senior Management,"Consumer Electronics, Appliances, Durables"
 Elevator Company is Hiring For Sales Engineer : Mumbai,Retail Sales,"Construction, Engineering, Cement, Metals"
 Hiring For Leading CMMi Level 5 MNC For Azure Developer.,Programming & Design,"IT-Software, Software Services"
" CNC / Cylindrical Grinder,pune",Production/Manufacturing/Maintenance,"Automobile, Auto Anciliary, Auto Components"
 Instructor-Fitness Center,Other Services,"Travel , Hotels , Restaurants , Airlines , Railways"
 Telecaller,Sales Support,"IT-Software, Software Services"
 PHP with ZEND and React JS1 Year C2H CHN 31 JUL,Programming & Design,"IT-Software, Software Services"
 Executive Search for Tech Support Voice Proces (UK / US),Voice,"IT-Software, Software Services"
 Big Data Engineer,Programming & Design,"Strategy, Management Consulting Firms"
 Branch Service Partner,Operations/Processes/Finance/Legal,"Banking, Financial Services, Broking"
 Java Full Stack Developer,Programming & Design,"IT-Software, Software Services"
 Java Developer - OSS / BSS,Programming & Design,"Telcom, ISP"
 Warehouse Manager,Logistics,"Internet, Ecommerce"
 Direct Walk-in For IT Recruiters,HR/ Recruitment / IR,"Recruitment, Staffing"
 Counsellor/ Branch Head - ICON Preschool Vatika Gurgaon Sector 83,Teachers,"Education, Teaching, Training"
" Sr. UI Developer - Angular 5, Cloud Foundry, Docker",Programming & Design,"IT-Software, Software Services"
 Software Engineer (unix Kernel),Programming & Design,"IT-Software, Software Services"
 RF Planning Engineer,Programming & Design,"Telcom, ISP"
 SAP ABAP with S4 HANA -bangalore,Programming & Design,"IT-Software, Software Services"
 Cisco call studio + Java,Programming & Design,"Recruitment, Staffing"
 AVP - AIM - Campaign Management - C12,Operations,"IT-Software, Software Services"
 AngularJS Developer - UI Technologies,Programming & Design,"IT-Software, Software Services"
,,
 Senior Front End Engineer - Javascript/react.js,Programming & Design,"IT-Software, Software Services"
 Devops Technical Architect,Programming & Design,"IT-Software, Software Services"
 Urgently Required HR Recruiter for IT Infrastructure Co.,HR/ Recruitment / IR,"Recruitment, Staffing"
 Walk ins : Content Writers,,"IT-Software, Software Services"
 SE / SSE - Vb.net - Gurgaon - 2 To 6 yrs,Programming & Design,"IT-Software, Software Services"
" Assistant Manager- Financial Planning, Budgeting and Forecasting FP&A",Finance/Audit,"BPO, Call Centre, ITeS"
 AS400 Developer,Programming & Design,"IT-Software, Software Services"
Sales Operations Specialist,Retail Sales,BPO / Call Centre / ITES
 Custody Operations Event creation Asset Servicing Representative,Retail/Personal Banking,"Banking, Financial Services, Broking"
 Hadoop Trainer,Other,"IT-Software, Software Services"
 Marketing Executive,Corporate Sales,"Chemicals, PetroChemical, Plastic, Rubber"
 Urgent Requirement of Lab Assistant @ Vibgyor Marathahalli,Teachers,"Education, Teaching, Training"
 Walk-in Interview Drive for Bank Officer / Senior Bank Officers,Retail Sales,"Banking, Financial Services, Broking"
 Business Analyst,System Design/Implementation/ERP/CRM,"IT-Software, Software Services"
 Inbound Tech Sales,Voice,"IT-Software, Software Services"
 KESARI IT - PYTHON DEVELOPER,Programming & Design,"Travel , Hotels , Restaurants , Airlines , Railways"
 Agile Test Architect,Programming & Design,"IT-Software, Software Services"
 Business Development Manager,Channel Sales,"Recruitment, Staffing"
 Clinical Data Programmer,R&D,"IT-Software, Software Services"
 Sr. Executive search for Inbound Tech Support Process in UK Shift,Voice,"IT-Software, Software Services"
 Javascript Engineer,Programming & Design,"IT-Software, Software Services"
" Hiring For Recruitment Executive, 5.5 DAYS Working",HR/ Recruitment / IR,"Recruitment, Staffing"
" Walk-in Interview for Sales Officers - Branch Banking On 20th June,1",Retail Sales,"Banking, Financial Services, Broking"
 SAP SCM.PP,Programming & Design,"IT-Software, Software Services"
 QA Analyst Trainee,Programming & Design,"Construction, Engineering, Cement, Metals"
 Join with a Fixed Salary (US Process) Tech Support/ Sales,Voice,"IT-Software, Software Services"
 Manager - Credit Analysis - Insurance,Financial Services/Stock Broking,"IT-Software, Software Services"
 Relationship Manager Micro Mortgages,Retail Sales,"Banking, Financial Services, Broking"
 Workday Consultant,Other,"Export, Import"
 General Manager,Senior Management,"Real Estate, Property"
 PCB Repair Technician For Telecommunication,Technical Support,"Electricals, Switchgears"
 Estate Manager,Administration/Facility Management,"Construction, Engineering, Cement, Metals"
 Asst. Manager Restaurant - Sales (3-6 Yrs),Institutional Sales,"Travel , Hotels , Restaurants , Airlines , Railways"
 Business Development Engineer - Software Sales,Retail Sales,"IT-Software, Software Services"
 Catalog Management Executive,Corporate Sales,"Pharma, Biotech, Clinical Research"
 Fresher Content Writer,Creative,"Advertising, PR, MR, Event Management"
 Senior Associates International Operations (Accounting-GL),Accounts,"Accounting, Finance"
 Faculty Graphic Designer,Other,"Education, Teaching, Training"
 Co-founder/ Chief Data Scientist/ Senior Data Scientist,Senior Management,"Accounting, Finance"
 Adeeba Group Hiring Tech Support Associates For UK/ US,Voice,"IT-Software, Software Services"
 Node.js Developer,Programming & Design,"IT-Software, Software Services"
 Manager - PRE Acquisition,Marketing,"Construction, Engineering, Cement, Metals"
 Electrical & Instrumentation Engineer - Project Coordinator,Project Management,"Industrial Products, Heavy Machinery"
 Trade Compliance Administrator ON Contract for 1 Year,Other,"IT-Software, Software Services"
Hiring for SAP Presale Professionals -proposal Manager ; Hyderabad,Senior Management,IT-Software / Software Services
 SAP FICO Associate Consultant,System Design/Implementation/ERP/CRM,"IT-Software, Software Services"
 Technical Lead / Architect,Programming & Design,"Strategy, Management Consulting Firms"
 Incident Management - Sr. Specialist,Admin/Maintenance/Security/Datawarehousing,"Office Equipment, Automation"
 Immediate job Openings For MIS Analyst (HR MIS),Other,"IT-Software, Software Services"
 Hiring for Relationship Officer : : NBFC,Retail Sales,"Banking, Financial Services, Broking"
 Back Office Executive,Back Office/Web/Transaction Processing,"FMCG, Foods, Beverage"
" Specialist - Financial Accounting, Performance Management",Accounts,"Education, Teaching, Training"
 IOS Developer,Programming & Design,"IT-Software, Software Services"
 Ui Developer- Noida - Only Product Based Company Candidates Apply,Programming & Design,"IT-Software, Software Services"
 Senior Ecommerce Executive / Order Processing / Product Listing,Retail Sales,"Internet, Ecommerce"
 iOS Developer Mumbai,Programming & Design,"IT-Software, Software Services"
" Business Analyst - Power BI, Tableau, SQL and Data Analytics ( Male )",Analytics & BI,"Telcom, ISP"
 Application Packaging Expert + SCCM 2012,,Other
 Senior java developer,HR/ Recruitment / IR,"Strategy, Management Consulting Firms"
 Cre/dsh for Luxury Retail Store in Pune Location.,Retail Sales,"Retail, Wholesale"
 Business Development Manager,Retail Sales,"IT-Software, Software Services"
 Urgent openings For Accounts Executives_ Male,Accounts,"Accounting, Finance"
 Accountant - Export Company -,Accounts,"Recruitment, Staffing"
 Investment Advisor,Retail/Personal Banking,"Banking, Financial Services, Broking"
 Linux/satellite Admin,Admin/Maintenance/Security/Datawarehousing,"IT-Software, Software Services"
 Vice President,Accounts,"Banking, Financial Services, Broking"
 IT Salesforce Marketing Cloud Developer,Programming & Design,"Medical, Healthcare, Hospitals"
 Customer Care Executive (gurgaon/noida),Voice,"BPO, Call Centre, ITeS"
 Assistant Manager Controllership,Finance/Audit,Insurance
 Human Resource Associate,HR/ Recruitment / IR,"Oil and Gas, Energy, Power, Infrastructure"
 Java Developer,Programming & Design,"Recruitment, Staffing"
 Customer Service Representatives,Voice,"Recruitment, Staffing"
 CRO ? Conversion Rate Optimization Specialist,System Design/Implementation/ERP/CRM,"IT-Software, Software Services"
 SAP GTS Consultant - Open with our Reputed CMMI Level5 Clients,Programming & Design,"IT-Software, Software Services"
 Area Sales Manager-construction Chemicals,Retail Sales,"Construction, Engineering, Cement, Metals"
 AGM - Purchase Automobiles,Senior Management,"Recruitment, Staffing"
 Associate Consultant,Other,"IT-Software, Software Services"
 English Faculty For +1 +2 Bangalore,Teachers,"Education, Teaching, Training"
 Finance Professional - Financial Accounting Advisory Services,Finance/Audit,"Accounting, Finance"
 Front Office Manager,Front Office/Customer Care,"Travel , Hotels , Restaurants , Airlines , Railways"
 MIS Executive,,"BPO, Call Centre, ITeS"
 Part/full time and Office/home Based job in Mumbai And Patna,Other,"Advertising, PR, MR, Event Management"
 Sr. Manager Accounts (CA Only),Accounts,"FMCG, Foods, Beverage"
 Sales Manager / SSM / ABM -life Insurance .phoenix Agency,Retail Sales,Insurance
 Urgent Hiring For Content Writer_gurgaon,Back Office/Web/Transaction Processing,"BPO, Call Centre, ITeS"
 Sr. Process Engineer,Site Engineering,"Chemicals, PetroChemical, Plastic, Rubber"
 Professor/Director - Centre For Jawaharlal Nehru Studies,,"Education, Teaching, Training"
 Marketing Executive,Retail Sales,"Recruitment, Staffing"
 Guest Relation Manager_playzone/party Area_mumbai (kurla),Food & Beverage,"Travel , Hotels , Restaurants , Airlines , Railways"
 IBM BPM Architect/ Process Architect - Soa/xml,Programming & Design,"IT-Software, Software Services"
 Mega Walk In For Internation Process (service Desk),Voice,"BPO, Call Centre, ITeS"
 BPO Executive,Other,"BPO, Call Centre, ITeS"
 Sr 4. Full Stack Engineer - Devops on Ci/cd Tools,Programming & Design,"IT-Software, Software Services"
 System Developer - C/c++/java/python,Programming & Design,"IT-Software, Software Services"
 Retail Operation Partner (cofo) - Entrepreneurship/ Business Model,,"Retail, Wholesale"
 Capgemini is Hiring for Captiva Developer for Mumbai Location.,Programming & Design,"IT-Software, Software Services"
 Assistant Professor - Ocean Modeling,,"Education, Teaching, Training"
" Rep., Investor Srvcs Ops",Finance/Audit,"Banking, Financial Services, Broking"
 Looking For Python Enthusiast @ Industrybuying.com,Programming & Design,"Internet, Ecommerce"
 Apply for Inbound Tech Support Voice Process,Voice,"IT-Software, Software Services"
 Administrator Telecom Networking,Admin/Maintenance/Security/Datawarehousing,"IT-Software, Software Services"
 Welcome to Magic Infomedia Current Jr. PHP Developer,Programming & Design,"IT-Software, Software Services"
 SR. EXECUTIVE - BUSINESS DEVELOPMENT,Corporate Sales,"IT-Software, Software Services"
 TELE-CALLER,Voice,"IT-Software, Software Services"
Software Technologist,Programming & Design,IT-Software / Software Services
 Recruiter,HR/ Recruitment / IR,"Travel , Hotels , Restaurants , Airlines , Railways"
 Hiring For Pdms Administrator @ Chennai,,"Oil and Gas, Energy, Power, Infrastructure"
 Senior Software Engineer,Admin/Maintenance/Security/Datawarehousing,"IT-Software, Software Services"
 Urgent Openings For SFDC Sr.Developer/Lead,Programming & Design,"IT-Software, Software Services"
 Banking Jobs - Operation / Back Office / Customer Support in PUNE,Other,"BPO, Call Centre, ITeS"
 Social Media Executive,Advertising,"Recruitment, Staffing"
 NGO Coordinators,,"Animation, Gaming"
Nursing Superintendent – Palliative Care,Medical Professional,Medical / Healthcare / Hospitals
 Materials Regulatory Specialist,Purchase/Material Management,"IT-Software, Software Services"
 Regional Manager,Retail Sales,"Travel , Hotels , Restaurants , Airlines , Railways"
 Informatica Etl Developer,Programming & Design,"IT-Software, Software Services"
 Human Resource Department,HR/ Recruitment / IR,"Travel , Hotels , Restaurants , Airlines , Railways"
 Assistant Manager Sales,Corporate Sales,"Travel , Hotels , Restaurants , Airlines , Railways"
 IT Infrastructure - Administrator,Admin/Maintenance/Security/Datawarehousing,"Automobile, Auto Anciliary, Auto Components"
 Test Lead-automation & Manual,Programming & Design,"IT-Software, Software Services"
 Scientist 'C' - Electrical Engineering (Vacancy-4),,"Government, Defence"
OTM Technical Lead,Programming & Design,IT-Software / Software Services
 KYC Analyst,Treasury,"Banking, Financial Services, Broking"
 Creative Designer,Creative,"BPO, Call Centre, ITeS"
 Senior Drupal Developer,Programming & Design,"IT-Software, Software Services"
 Chief Security Officer from Special Forces as NSG/ Para Forces etc,,"Security, Law Enforcement"
 QA - QC - Electrical Engineer,Production/Manufacturing/Maintenance,"Recruitment, Staffing"
 Sr.mechanical Design Engineer,Engineering Design,"Government, Defence"
 Counter Sales,Retail Sales,"Recruitment, Staffing"
 Job Opening for Senior Java Developer for IT Industry,Programming & Design,"IT-Software, Software Services"
 Lead Software Engineer,Programming & Design,"Chemicals, PetroChemical, Plastic, Rubber"
 GM - Engineering ( Software Development )- Premium Institute,Senior Management,"IT-Software, Software Services"
 Urgent Opening - Wealth Manager : New Delhi - / 13,Investment Banking,"Banking, Financial Services, Broking"
 Windows System Administrator,Admin/Maintenance/Security/Datawarehousing,"IT-Software, Software Services"
 Java Trainee,Programming & Design,"Recruitment, Staffing"
 Assistant Manager Sales,Retail Sales,"Construction, Engineering, Cement, Metals"
 Sales Manager,Retail Sales,"Architecture, Interior Design"
 Direct Sales with Leading Bank.,Retail Sales,"Banking, Financial Services, Broking"
 Visualizer- Graphic Designers - Mansrover Garden Delhi - Ugent.,Creative,"Advertising, PR, MR, Event Management"
"Urgent Customer Care- Fortis BG Road , Bangalore","OPD Management and Consultants Coordination. Registration and billing Telephone operations. Appointment and Scheduling. Cancelling / rescheduling appointment whenever necessary by calling and informing the concerned patients Information delivery Supervising the Reception- by handling queries, enquiries and lab reports Update of Contact details of consultants/ star dials and extension numbers Preparing Indent of Consultant Chambers. Compiling FOS data and sending it to the concerned OPD executive who is in charge of consolidating data Issuing Keys & Lockers of the drawers. Supervising and checking of daily MIS before sending it. Service recovery in that Area. Training of the HIS modules in front office with the power users. Maintaining attendance, leave & delays in absenteeism of the Consultants. Giving on-the-job training. Room Readiness. Inventory of the stationery. Inter departmental co-ordination (Wards, H/K, Maintenance, Stores, Admin, IT) Handles patient grievances (regarding waiting period for the Drs and non availability of appointments) Salary: INR 90,000 - 2,25,000 PA. Industry: Medical / Healthcare / Hospitals Functional Area: Other Employment Type: Permanent Job, Full Time ",Medical / Healthcare / Hospitals
 Excellent Openings For Call Centre Officer - Day Shift Job,Voice,"BPO, Call Centre, ITeS"
 Software Engineer,Programming & Design,"Internet, Ecommerce"
 Medical Representative Critical Care,Retail Sales,"Pharma, Biotech, Clinical Research"
 Electrical Engineer - Pharma / Chemical Industry - Kadi / Mehsana,Production/Manufacturing/Maintenance,"Pharma, Biotech, Clinical Research"
 Assistant Professor (Grade - II) - Other Closely Related Areas,,"Education, Teaching, Training"
 Test Engineer - Automation/manual Testing,Programming & Design,"IT-Software, Software Services"
 Hiring For Kannada Voice Support in Banking Sector - Chennai,Voice,"Banking, Financial Services, Broking"
 Sr. Executive / Assistant Manager - Sales,Retail Sales,"Advertising, PR, MR, Event Management"
 Deputy Manager-legal (chennai),,"Automobile, Auto Anciliary, Auto Components"
 Store and Inventory Manager ,Logistics,"Recruitment, Staffing"
 Senior Software Engineer AngularJS,Programming & Design,"IT-Software, Software Services"
 Customer Care Associate,Voice,"Recruitment, Staffing"
 inbound Voice Process,Voice,"IT-Software, Software Services"
 L1 TECHNICAL SUPPORT ASSOCIATE,Other,"BPO, Call Centre, ITeS"
 Technical Lead,Programming & Design,"IT-Software, Software Services"
 Software Dev Engineer II,Programming & Design,"Internet, Ecommerce"
 Outsourcing Assistant Manager,Voice,"Printing, Packaging"
Senior Software Engineer-java,Programming & Design,IT-Software / Software Services
 Accounts Executive,Accounts,"IT-Software, Software Services"
 Lead Software Engineer,Programming & Design,"IT-Software, Software Services"
,,
 Assistant Manager / Deputy Manager - Insurance Sales,Retail Sales,Insurance
 Management Trainee Marketing,Other,"Strategy, Management Consulting Firms"
 Lead/Senior Developer - Informatica,Programming & Design,"IT-Software, Software Services"
 Voice Customer Service role (fluent English Must) Salary upto 30k,Voice,"BPO, Call Centre, ITeS"
 Inbound Sales Process,Voice,"IT-Software, Software Services"
 Associate Professor (Nyaya) (Level 13A) (Vacancy-1),,"Education, Teaching, Training"
 BPO Call Center Jobs In Mumbai,Other,"BPO, Call Centre, ITeS"
 Assistant Manager - Resources Manager (pmo),Project Management,Insurance
 Tableau,Programming & Design,"IT-Software, Software Services"
 Hiring For Sales Executive-navi Mumbai & Goa Location,Retail Sales,"Banking, Financial Services, Broking"
 Looking For Domestic IT Recruiter For our Reputed MNC Client,HR/ Recruitment / IR,"IT-Software, Software Services"
Collection Manager/officer - CD / TW - Ahmedabad / Surat / Rajkot,"Designation: Collection Manager / Officer - CD/TW. Location: Ahmedabad / Surat / Rajkot Job Requirement: Candidate should have minimum 1 to 2 years of experience into collections. Should have managed Collection agency. Ready to work in field for collection Salary: INR 2,00,000 - 5,00,000 PA. Industry: Banking / Financial Services / Broking Functional Area: Other Employment Type: Full Time, Permanent ",Banking / Financial Services / Broking
" Video Grapher - Telugu, Kanada, Tamil, Malayalam",Production/Technical,"Media, Entertainment, Internet"
 Data Analyst (Vacancy-1),,"Media, Entertainment, Internet"
 Assistant Manager Accounts,Accounts,"NGO, Social Services, Regulators, Industry Associations"
" State Head-crop Insurance(kolkata,assam,rajasthan)",General Insurance,Insurance
 Team Leader - Angularjs/ Java/ SQL Server,Programming & Design,"IT-Software, Software Services"
,,
 Business Applications Support Engineer,Programming & Design,"Telcom, ISP"
 URGENT hiring for International voice process for US shift.,Voice,"IT-Software, Software Services"
